id,text
mili,"Forma como coloquialmente se llama en España al servicio militar obligatorio, suspendido en 2001."
GAD,Abreviatura de gracias a Dios
sampedros,"Fiesta patronal celebrada en muchas localidades españolas el 29 de junio, en honor a San Pedro."
circoamericano,"El Circo Americano fue fundado en 1946 por los españoles Arturo Castilla y Manuel Feijoo. Contaba con dos compañías que en total tenían unos 320 artistas y un zoológico de 100 animales que incluía tigres y leopardos, leones y panteras, osos y hienas,  serpientes, monos, hipopótamos, focas y muchas especies más. Una de las compañías viajaba por las zonas centro y norte del país mientras que la otra visitaba el sur de la Península y el norte de África. (Wikipedia https://es.wikipedia.org/wiki/Arturo_Castilla)"
